kodea,Udalerria,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
20029,Deba,31.51,30.6,31.98,42.7,35.87,40.52,50.28,46.65,56.71,42.89,33.61,36.89,30.03,30,27.72
48901,Derio,36.95,37.27,35.97,31.77,38.58,32.83,36.98,42.29,41.57,45.96,38.3,31.85,39.85,31.17,47.72
48026,Dima,15.76,17.82,17.35,33.8,26.95,24.25,30.12,35.96,32.85,37.51,24.74,14.2,21.76,20.25,21.74
20069,Donostia / San Sebasti‡n,31.26,29.79,31.17,33.32,32.08,31.79,34.09,32.95,36.39,34,32.73,31.82,26.17,26.34,25.5
48027,Durango,25.15,25.02,24.65,28.7,34.23,37.86,36.49,36.75,36.82,50.78,45.72,39.55,43.81,33.05,36.79
48028,Ea,22.59,24.97,24.85,10.53,13.87,17.96,41.53,28.99,25.53,28.38,12.49,17.5,18.27,22.67,21.41
20030,Eibar,39.93,36.28,38.43,39.63,39.76,36.54,35.84,33.78,38.65,30.35,27.14,27.05,28.67,23.09,22.89
48031,Elantxobe,8.15,24.46,36.94,30.93,25.51,12.11,12.11,37.12,36.36,29.35,45.15,31.39,55.56,41.3,30.3
1021,Elburgo/Burgelu,37.7,32.79,19.67,30.84,40.26,52.72,22.36,41.25,28.32,36.19,30.48,45.82,20.92,66.81,47.3
1022,Elciego,29.47,34.38,32.1,29.44,24.76,25.94,28.82,39.12,27.65,27.64,20.73,26.89,37.35,12.85,13.9
20031,Elduain,25,12.5,41.15,33.06,50.21,25.86,43.1,12.82,29.54,34.48,38.79,18.1,9.35,18.69,23.26
20033,Elgeta,26.74,41,50.22,44.68,31.86,31.45,45.82,75.94,35.38,19.03,35.2,37.64,29.3,16.75,18.2
20032,Elgoibar,14.18,15.82,17.86,20.45,19.13,29.65,28.25,28.57,23.86,22.69,21.69,20.94,18.84,19.09,15.97
48032,Elorrio,16.43,13.55,10.84,15.16,19.68,16.38,20.37,19.58,15.19,14.87,11.36,14.36,11.26,13.53,11.49
1023,Elvillar/Bilar,19.77,25.42,31.07,73.86,62.15,49.32,46.58,27.47,19.02,16.81,42.02,19.83,50.28,13.51,10.7
48902,Erandio,40.04,35.37,37.01,42.97,50.94,45.28,41.08,34.6,44.61,46.93,39.17,40.91,37.5,33.63,33.32
48033,Ere–o,35.71,27.78,43.31,56.45,16.19,34.35,15.27,34.48,27.13,15.56,19.46,30.89,15.38,34.75,31.5
48034,Ermua,17.45,16.14,25.75,20.71,23.06,25.13,22.18,24.76,23.3,27.78,25.2,27.49,19.89,19.31,21.18
20067,Errenteria,34,33.62,37.53,33.48,32.62,33.36,31.07,30.55,37.13,33.89,23.53,26.22,21.55,21.71,21.32
20066,Errezil,5.08,25.42,28.52,31.99,30,49.02,24.51,27.78,33.76,19.08,14.31,36.98,24.63,18.12,18.09
1046,Erriberagoitia/Ribera Alta,47.23,36.44,31.62,24.93,37.09,53.44,34.35,48.3,29.77,48.99,43.23,57.54,47.14,41.17,33.04
48079,Errigoiti,25.59,45.28,35.29,31.13,17.11,27.42,49.36,60.77,40.31,46.6,31.07,33.6,29.94,16.26,28.46
20034,Eskoriatza,14.2,17.87,28.66,22.02,23.79,27.17,17.78,26.67,22.17,21.67,18.18,16.24,12.53,9.76,8.98
48029,Etxebarri,24.06,21.09,17.08,17.66,21.1,24.82,21.69,25.56,27.71,37.75,30.32,29.43,27.32,27.59,22.94
48030,Etxebarria,31.5,14.44,19.21,22.81,17.54,16.11,28.5,19.63,26.63,19.32,13.29,17.11,17.24,11.25,21.52
20035,Ezkio-Itsaso,21.28,44.19,60.06,61.89,42.9,40.52,48.62,60.76,41.74,47.04,47.04,60.71,46.35,43.78,53
48906,Forua,38.46,83.33,40.38,52.52,42.4,31.83,25.67,35.14,28.6,39.96,26.64,19.59,25.41,26.95,17.89
48035,Fruiz,27.62,29.47,47.79,34.48,36.3,25.84,21.87,34.78,38.9,27.09,19.7,32.26,48.59,56.6,16.67
20038,Gabiria,10.18,34.62,18.4,24.29,32.19,44.81,26.48,28.4,26.92,77.1,29.48,25.46,7.06,0,11.6
20037,Gaintza,40.32,8.06,24.59,8.26,8.33,15.87,23.81,31.01,15.38,7.46,44.78,7.46,7.87,8.06,15.75
48036,Galdakao,36.11,30.21,34.33,44.74,44.6,43.76,40.98,39.24,40.29,45.47,39.34,34.56,34.83,33.41,32.24
48037,Galdames,29.56,35.71,46.74,54.05,25.64,59.1,40.19,27.25,40.57,45.07,24.36,35.32,41.51,33.09,22.36
48038,Gamiz-Fika,38.15,24.21,20.66,35.74,22.3,38.81,32.09,33.11,21.92,31.96,28.06,21.77,24.28,21.45,13.7
48039,Garai,22.65,12.94,45.02,34.92,58.82,0,20.53,12.08,37.38,22.22,31.75,47.62,24.91,14.08,17.86
48040,Gatika,25.84,35.46,39.88,63.04,48.36,47.38,42.39,50.73,43.45,34.18,48.26,36.75,34.48,28.09,42.49
48041,Gautegiz Arteaga,16.49,41.22,36.26,28.97,22.68,31.28,32.4,35.47,44.72,36.74,36.74,41.05,27.4,29.71,19.45
20907,Gaztelu,6.21,6.21,12.35,5.95,5.85,59.17,11.83,11.9,12.35,,5.95,18.63,19.74,6.62,13.25
48046,Gernika-Lumo,37.35,42.27,46.74,46.72,51.87,46.07,48.17,42.76,50.46,54.22,48.54,39.15,37.84,37.36,35.39
20039,Getaria,44.37,36.92,42.84,32.67,29.93,38.16,36.29,47.17,59.95,44.6,23.87,30.88,43.77,32.83,34.37
48044,Getxo,25.36,25.79,29.8,30.03,33.35,32,27.33,26.98,30.09,29.59,26,25.22,25.57,21.51,23.51
48047,Gizaburuaga,19.14,19.14,47.39,61.03,18.69,4.88,19.51,24.63,15.08,11.24,56.18,16.95,42.94,34.72,42.55
48042,Gordexola,25.5,27.28,21.13,28.65,32.09,24.64,22.92,26.32,29.29,34.67,23.91,22.29,22.78,24.39,15.59
48043,Gorliz,43.52,52.69,47.44,45.17,40.63,36.02,34.94,29.59,27.15,30.01,28.1,31.68,35.64,23.88,26.16
48045,GŸe–es,28.03,32.52,27.95,32.03,28.18,27.48,32.29,31.38,31.2,25.96,32.05,26.83,37.44,30.21,29.61
1056,Harana/Valle de Arana,21.28,29.79,4.17,3.98,38.46,42.4,14.13,27.4,19.93,6.41,25.64,6.23,11.98,8.98,18.02
20040,Hernani,33.59,30.57,28.74,26.07,33.01,35.82,32.35,27.68,29.55,32.96,23.16,28.11,24.94,33.23,24.56
20041,Hernialde,22.01,62.89,30.67,61.58,28.49,38.89,30.56,16.95,23.05,17.7,26.55,29.94,6.06,6.33,13.33
20036,Hondarribia,25.53,28.65,26.02,23.35,24.87,29.56,25.99,25.54,25.58,27.04,23.35,29.04,25.24,24.38,16.02
20042,Ibarra,24.44,26.34,27.71,32.11,26.28,25.23,31.07,23.62,22.12,18.9,17.73,18.9,13.71,18.67,16.69
48048,Ibarrangelu,105.26,117.65,84.24,109.38,144.65,167.45,123.63,196.8,222.76,107.97,142.86,99.32,124.13,80.94,125.69
20043,Idiazabal,14.32,30.82,33.82,38.14,24.75,34.56,30.18,34.35,22.98,31.36,34.09,27.1,16.64,19.6,28.24
48094,Igorre,27,28.18,29.87,37.23,39.88,56.42,41.37,31.48,31.61,36.21,47.14,32.69,20.41,26.47,27.2
20044,Ikaztegieta,26.92,39.34,34.91,31.58,30.17,55.32,44.68,25.53,47.01,39.39,37.2,19.82,35.38,35.81,25.84
20045,Irun,43.71,41.5,41.45,45.76,45.31,42.88,40.36,44.89,45.75,42.58,41.42,41.13,37.62,41.08,37.92
20046,Irura,23.28,52.11,43.73,41.05,34.77,59.51,52.76,51.31,45.92,53.57,48.36,38.96,48.57,60.22,68.87
1027,Iruraiz-Gauna,9.58,26.82,23.44,19.61,38.91,37.17,57.62,42.07,17.93,22.68,32.99,35.49,29.41,21.19,30.3
1901,Iru–a Oka/Iru–a de Oca,34.59,32.45,30.43,37.9,31.25,44.39,57.63,40.07,40.27,53.26,46.55,42.99,41.79,51.54,32.68
48049,Ispaster,5.6,30.81,26.69,17.02,22.47,13.01,18.79,28.19,33.08,43.34,34.06,19.23,21,21.07,8.14
20047,Itsasondo,18.46,30.77,25.49,49.18,49.4,37.31,55.22,61.93,67.18,40.26,33.82,36.61,31.14,48.21,23.26
48910,Iurreta,48.5,47.68,50.55,53.62,43.73,58.05,55.99,50,54.64,65.47,49.1,44.15,43.9,39.88,37.6
48050,Izurtza,97.87,17.02,60.98,106.06,75.81,43.48,90.58,87.91,49.24,63.24,55.34,48.39,87.3,135.14,60.61
48022,Karrantza Harana/Valle de Carranza,41.87,35.62,29.94,33.91,31.96,25,31.79,32.26,37.53,30.81,27.27,28.65,26.37,24.76,24.51
48907,Kortezubi,58.17,85.01,54.59,40.95,39.74,49.18,46.84,54.12,50.48,44.33,83.74,42.71,41.03,57.89,26.88
1019,Kripan,91.89,32.43,10.87,27.03,15.54,45.92,25.51,10.2,5.13,21.74,0,10.75,0,0,0
1020,Kuartango,24.32,21.62,19.18,41.78,25.21,16.9,84.51,22.66,36.52,16.76,41.9,22.16,44.44,22.22,8.2
1028,Labastida/Bastida,34.32,30.2,30.01,47.3,26.3,40.97,32.91,30.59,39.78,34.25,28.88,25.43,24.77,35.95,34.14
1030,Lagr‡n,11.98,11.98,24.1,55.56,42.17,38.46,27.47,27.62,49.45,57.29,10.42,51.81,31.25,25.77,41.45
1031,Laguardia,67.75,53.52,47.36,72.42,62.38,57.53,73.69,56.25,76.11,70.9,61.54,76.77,60.65,44.53,50.95
1032,Lanciego/Lantziego,26.59,14.77,29.41,35.29,45.39,49.71,38.01,46.44,33.48,56.93,43.8,50,25.49,24.54,34.06
48051,Lanestosa,3.75,26.22,11.15,14.87,11.19,33.96,3.77,26.02,7.14,17.24,13.79,27.87,17.92,17.73,13.99
1902,Lantar—n,31.32,19.02,35.91,36.18,35.33,51.67,30.14,41.36,32.99,55.73,27.34,27.06,31.19,28.39,20.39
1033,Lapuebla de Labarca,32.71,21.03,33.88,41.81,46.15,38.46,33.8,38.06,41.28,44.64,22.32,26.68,37.74,29.38,22.17
48052,Larrabetzu,26.92,36.71,38.09,29.48,35.15,44.55,48.64,53.01,44.83,50.25,48.02,34.06,33.23,26.33,31
20048,Larraul,0,24.29,0,35.29,7.69,16.26,16.26,4.02,11.95,8.93,17.86,15.54,5.65,11.3,5.78
20902,Lasarte-Oria,17.35,20.38,20.14,25.27,21.22,20.38,21.56,21.37,22.22,19.78,19.1,18.54,18.34,17.24,16.18
